# Generated by `regiondb-build update`. Do not hand-edit: the next update
# pass overwrites this file. Corrections belong in classifications/ or
# overrides/, which the build applies on top.
# source: ourairports-airports
# url: https://davidmegginson.github.io/ourairports-data/airports.csv
# sha256: 2a5f05d4e2e9c6190ef6c6d28ff9f032d06d6e15c8d1d03d429d0cb72dda5140
# retrieved: 2026-08-21T03:15:49Z
iata,ident,type,name,latitude_deg,longitude_deg,iso_country,iso_region,municipality,scheduled_service
CHY,AGGC,small_airport,Choiseul Bay Airport,-6.711944,156.396111,SB,SB-CH,Choiseul Bay,yes
CHZ,K2S7,small_airport,Chiloquin State Airport,42.579440,-121.879063,US,US-OR,Chiloquin,no
CIA,LIRA,large_airport,Ciampino–G. B. Pastine International Airport,41.798769,12.595331,IT,IT-62,Rome,yes
CIC,KCIC,small_airport,Chico Regional Airport,39.795595,-121.857716,US,US-CA,Chico,no
CID,KCID,medium_airport,The Eastern Iowa Airport,41.884701,-91.710800,US,US-IA,Cedar Rapids,yes
CIE,YCOI,small_airport,Collie Airport,-33.366699,116.217003,AU,AU-WA,Collie,no
CIF,ZBCF,medium_airport,Chifeng Yulong Airport,42.159723,118.840971,CN,CN-15,Chifeng,yes
CIG,KCAG,small_airport,Craig Moffat Airport,40.495201,-107.522003,US,US-CO,Craig,no
CIH,ZBCZ,small_airport,Changzhi Wangcun Airport,36.247501,113.125999,CN,CN-14,Changzhi,yes
CII,LTBD,small_airport,Aydın Çıldır Airport,37.815389,27.887566,TR,TR-09,Aydın,no
CIJ,SLCO,medium_airport,Capitán Aníbal Arab Airport,-11.039109,-68.782774,BO,BO-N,Cobija,yes
CIK,PACI,small_airport,Chalkyitsik Airport,66.644997,-143.740005,US,US-AK,Chalkyitsik,yes
CIL,K29,small_airport,Council Airport,64.897903,-163.703003,US,US-AK,Council,no
CIM,SKCM,small_airport,Cimitarra Airport,6.367484,-73.970658,CO,CO-SAN,Cimitarra,no
CIN,KCIN,small_airport,Arthur N Neu Airport,42.046200,-94.789001,US,US-IA,Carroll,no
CIO,SGCO,medium_airport,Lieutenant Colonel Carmelo Peralta National Airport,-23.441609,-57.427039,PY,PY-1,Concepción,no
CIP,FLCP,small_airport,Chipata Airport,-13.558300,32.587200,ZM,ZM-03,Chipata,no
CIQ,GT-0001,small_airport,Chiquimula Airport,14.830920,-89.520938,GT,GT-CQ,Chiquimula,no
CIR,KCIR,small_airport,Cairo Regional Airport,37.064499,-89.219597,US,US-IL,Cairo,no
CIS,PCIS,medium_airport,Canton Island Airport,-2.768120,-171.710007,KI,KI-P,Abariringa,no
CIT,UAII,large_airport,Shymkent International Airport,42.365021,69.475640,KZ,KZ-YUZ,Shymkent,yes
CIU,KCIU,medium_airport,Chippewa County International Airport,46.242038,-84.462082,US,US-MI,Kincheloe,yes
CIW,TVSC,medium_airport,Canouan Airport,12.699000,-61.342400,VC,VC-06,Canouan,yes
CIX,SPHI,large_airport,Capitán FAP José A. Quiñones González International Airport,-6.789223,-79.828254,PE,PE-LAM,Chiclayo,yes
CIY,LICB,medium_airport,Comiso Airport,36.995830,14.608890,IT,IT-82,Comiso,yes
CIZ,SWKO,small_airport,Danilson Municipal Airport,-4.134060,-63.132599,BR,BR-AM,Coari,no
CJA,SPJR,medium_airport,Mayor General FAP Armando Revoredo Iglesias Airport,-7.139180,-78.489403,PE,PE-CAJ,Cajamarca,yes
CJB,VOCB,large_airport,Coimbatore International Airport,11.030000,77.043404,IN,IN-TN,Coimbatore,yes
CJC,SCCF,medium_airport,El Loa Airport,-22.498199,-68.903603,CL,CL-AN,Calama,yes
CJD,SK-275,small_airport,Candilejas Airport,2.066667,-74.583333,CO,CO-MET,Candilejas,no
CJF,YCWA,small_airport,Coondewanna Airport,-22.966667,118.813333,AU,AU-WA,Coondewanna,no
CJH,CAG3,small_airport,Chilko Lake (Tsylos Park Lodge) Airport,51.625797,-124.144478,CA,CA-BC,Chilko Lake,no
CJJ,RKTU,large_airport,Cheongju International Airport/Cheongju Air Base (K-59/G-513),36.715560,127.500289,KR,KR-43,Cheongju,yes
CJL,OPCH,medium_airport,Chitral Airport,35.886213,71.799922,PK,PK-KP,Chitral,yes
CJM,VTSE,medium_airport,Chumphon Airport,10.711200,99.361702,TH,TH-86,Chumphon,yes
CJN,WICN,small_airport,Nusawiru Airport,-7.719895,108.488995,ID,ID-JB,Cijulang,yes
CJS,MMCS,large_airport,Abraham González International Airport,31.636673,-106.428533,MX,MX-CHH,Ciudad Juárez,yes
CJT,MMCO,small_airport,San Antonio Copalar Airport,16.176701,-92.050598,MX,MX-CHP,Comitán,no
CJU,RKPC,large_airport,Jeju International Airport,33.512058,126.492548,KR,KR-49,Jeju City,yes
CJZ,BR-0263,small_airport,Pedro Vieira Moreira Airport,-6.882700,-38.615830,BR,BR-PB,Cajazeiras,yes
CKA,KCKA,small_airport,Kegelman AF Aux Field,36.734348,-98.123531,US,US-OK,Cherokee,no
CKB,KCKB,medium_airport,North Central West Virginia Airport,39.296600,-80.228104,US,US-WV,Bridgeport,yes
CKC,UKKE,medium_airport,Cherkasy International Airport,49.415600,31.995300,UA,UA-71,Cherkasy,no
CKD,CJX,small_airport,Crooked Creek Airport,61.870315,-158.137636,US,US-AK,Crooked Creek,yes
CKE,K1O2,small_airport,Lampson Field,38.990601,-122.901001,US,US-CA,Lakeport,no
CKG,ZUCK,large_airport,Chongqing Jiangbei International Airport,29.712254,106.651895,CN,CN-50,Chongqing,yes
CKH,UESO,medium_airport,Chokurdakh Airport,70.623100,147.901993,RU,RU-SA,Chokurdah,yes
CKI,YCKI,small_airport,Croker Island Airport,-11.165000,132.483002,AU,AU-NT,,no
CKK,KCVK,small_airport,Sharp County Regional Airport,36.264900,-91.562599,US,US-AR,Ash Flat,no
CKL,UUMU,medium_airport,Chkalovskiy Air Base,55.878300,38.061699,RU,RU-MOS,Moscow,no
CKM,KCKM,small_airport,Fletcher Field,34.299702,-90.512299,US,US-MS,Clarksdale,no
CKN,KCKN,small_airport,Crookston Municipal Kirkwood Field,47.841702,-96.621597,US,US-MN,Crookston,no
CKO,SSCP,small_airport,Cornélio Procópio Airport,-23.152711,-50.602868,BR,BR-PR,Cornélio Procópio,no
CKR,CKR,small_airport,Crane Island Airstrip,48.597800,-122.997900,US,US-WA,Crane Island,no
CKS,SBCJ,medium_airport,Carajás Airport,-6.117841,-50.003372,BR,BR-PA,Parauapebas,yes
CKT,OIMC,medium_airport,Sarakhs Airport,36.501202,61.064899,IR,IR-09,Sarakhs,no
CKU,CKU,small_airport,Cordova Municipal Airport,60.543900,-145.727005,US,US-AK,Cordova,no
CKV,KCKV,small_airport,Clarksville–Montgomery County Regional Airport,36.621899,-87.415001,US,US-TN,Clarksville,no
CKW,YCHK,small_airport,Christmas Creek Airport,-22.354302,119.642603,AU,AU-WA,Christmas Creek Mine,yes
CKX,CKX,small_airport,Chicken Airport,64.066495,-141.951342,US,US-AK,Chicken,yes
CKY,GUCY,large_airport,Ahmed Sékou Touré International Airport,9.576890,-13.612000,GN,GN-C,Conakry,yes
CKZ,LTBH,medium_airport,Çanakkale Airport,40.137699,26.426800,TR,TR-17,Çanakkale,yes
CLA,VGCM,small_airport,Comilla Airport,23.440133,91.188685,BD,BD-B,Comilla,no
CLD,KCRQ,medium_airport,McClellan-Palomar Airport,33.128300,-117.279999,US,US-CA,Carlsbad,yes
CLE,KCLE,large_airport,Cleveland Hopkins International Airport,41.411701,-81.849800,US,US-OH,Cleveland,yes
CLG,KC80,small_airport,New Coalinga Municipal Airport,36.163101,-120.293999,US,US-CA,Coalinga,no
CLH,YCAH,small_airport,Coolah Airport,-31.773864,149.615322,AU,AU-NSW,,no
CLI,KCLI,small_airport,Clintonville Municipal Airport,44.613800,-88.731300,US,US-WI,Clintonville,no
CLJ,LRCL,large_airport,Avram Iancu Cluj International Airport,46.786042,23.685733,RO,RO-CJ,Cluj-Napoca,yes
CLK,KCLK,small_airport,Clinton Regional Airport,35.538300,-98.932701,US,US-OK,Clinton,no
CLL,KCLL,medium_airport,Easterwood Field,30.588600,-96.363800,US,US-TX,College Station,yes
CLM,KCLM,medium_airport,William R Fairchild International Airport,48.120201,-123.500000,US,US-WA,Port Angeles,no
CLN,SBCI,medium_airport,Brig. Lysias Augusto Rodrigues Airport,-7.320440,-47.458698,BR,BR-MA,Carolina,no
CLO,SKCL,large_airport,Alfonso Bonilla Aragon International Airport,3.542717,-76.381898,CO,CO-VAC,Cali,yes
CLP,PFCL,small_airport,Clarks Point Airport,58.833698,-158.529007,US,US-AK,Clarks Point,yes
CLQ,MMIA,medium_airport,Licenciado Miguel de la Madrid International Airport,19.277000,-103.577002,MX,MX-COL,Colima,yes
CLR,KCLR,small_airport,Cliff Hatfield Memorial Airport,33.131500,-115.521004,US,US-CA,Calipatria,no
CLS,KCLS,small_airport,Chehalis Centralia Airport,46.676998,-122.983002,US,US-WA,Chehalis,no
CLT,KCLT,large_airport,Charlotte Douglas International Airport,35.214001,-80.943100,US,US-NC,Charlotte,yes
CLU,KBAK,medium_airport,Columbus Municipal Airport,39.262386,-85.895576,US,US-IN,Columbus,no
CLV,SBCN,small_airport,Nelson Ribeiro Guimarães Airport,-17.725096,-48.606324,BR,BR-GO,Caldas Novas,yes
CLW,KCLW,small_airport,Clearwater Air Park,27.976700,-82.758698,US,US-FL,Clearwater,no
CLX,SATC,small_airport,Aeródromo de Clorinda,-25.303600,-57.734400,AR,AR-P,Clorinda,no
CLY,LFKC,medium_airport,Calvi Sainte Catherine Airport,42.530422,8.792984,FR,FR-COR,Calvi,yes
CLZ,SVCL,medium_airport,Calabozo Airport,8.924656,-67.417091,VE,VE-J,Guarico,no
CMA,YCMU,medium_airport,Cunnamulla Airport,-28.030001,145.621994,AU,AU-QLD,,yes
CMB,VCBI,large_airport,Bandaranaike International Colombo Airport,7.180760,79.884102,LK,LK-1,Colombo,yes
CMC,SNWC,small_airport,Camocim - Pinto Martins Airport,-2.895596,-40.859299,BR,BR-CE,Camocim,no
CMD,YCTM,medium_airport,Cootamundra Airport,-34.624283,148.036641,AU,AU-NSW,,no
CME,MMCE,medium_airport,Ciudad del Carmen International Airport,18.651516,-91.799355,MX,MX-CAM,Ciudad del Carmen,yes
CMF,LFLB,medium_airport,Chambéry Aix les Bains airport,45.638100,5.880230,FR,FR-ARA,Chambéry,yes
CMG,SBCR,medium_airport,Corumbá International Airport,-19.011930,-57.672772,BR,BR-MS,Corumbá,yes
CMH,KCMH,large_airport,John Glenn Columbus International Airport,39.998001,-82.891899,US,US-OH,Columbus,yes
CMI,KCMI,medium_airport,University of Illinois Willard Airport,40.039819,-88.276249,US,US-IL,Savoy,yes
CMJ,RCCM,small_airport,Qimei Airport,23.213127,119.417539,TW,TW-PEN,Qimei,no
CMK,FWCM,small_airport,Club Makokola Airport,-14.306483,35.131477,MW,MW-MG,Club Makokola,no
CML,YCMW,small_airport,Camooweal Airport,-19.911699,138.125000,AU,AU-QLD,,no
CMM,MGCR,small_airport,Carmelita Airport,17.461201,-90.053703,GT,GT-PE,Carmelita,no
CMN,GMMN,large_airport,Mohammed V International Airport,33.367500,-7.589970,MA,MA-06,Casablanca,yes
CMO,HCMO,small_airport,Hobyo Airport,5.358003,48.515281,SO,SO-GA,Hobyo,no
CMP,BR-1948,small_airport,Santana do Araguaia Airport,-9.319906,-50.328536,BR,BR-PA,Santana do Araguaia,no
CMQ,YCMT,medium_airport,Clermont Airport,-22.773100,147.621002,AU,AU-QLD,,no
CMR,LFGA,medium_airport,Colmar Houssen airport,48.109901,7.359010,FR,FR-GES,Colmar,no
CMS,HCMS,small_airport,Iskushuban Airport,10.313889,50.205556,SO,SO-BR,Iskushuban,no
CMT,CMT,small_airport,New Cametá Airport,-2.246800,-49.560000,BR,BR-PA,Cametá,no
CMU,AYCH,medium_airport,Chimbu Airport,-6.024290,144.970993,PG,PG-CPK,Kundiawa,yes
CMV,NZCX,small_airport,Coromandel Airport,-36.791698,175.509003,NZ,NZ-WKO,Coromandel,no
CMW,MUCM,large_airport,Ignacio Agramonte International Airport,21.419909,-77.848039,CU,CU-09,Camaguey,yes
CMX,KCMX,medium_airport,Houghton County Memorial Airport,47.168400,-88.489098,US,US-MI,Hancock,yes
CMY,KCMY,small_airport,Sparta Fort McCoy Airport,43.958009,-90.737886,US,US-WI,Sparta,no
CMZ,CMZ,small_airport,Caia Airport,-17.833100,35.334100,MZ,MZ-S,Caia,no
CNA,MMCA,small_airport,Cananea National Airport,31.066150,-110.097878,MX,MX-SON,Cananea,no
CNB,YCNM,medium_airport,Coonamble Airport,-30.980946,148.377833,AU,AU-NSW,,yes
CNC,YCCT,small_airport,Coconut Island Airport,-10.050139,143.070007,AU,AU-QLD,,yes
CND,LRCK,large_airport,Mihail Kogălniceanu International Airport,44.362202,28.488300,RO,RO-CT,Constanța,yes
CNE,K1V6,small_airport,Fremont County Airport,38.429739,-105.108562,US,US-CO,Penrose,no
CNF,SBCF,large_airport,Tancredo Neves International Airport,-19.635710,-43.966928,BR,BR-MG,Belo Horizonte,yes
CNG,LFBG,medium_airport,Cognac-Châteaubernard (BA 709) Air Base,45.658298,-0.317500,FR,FR-NAQ,Cognac/Châteaubernard,no
CNH,KCNH,small_airport,Claremont Municipal Airport,43.370399,-72.368698,US,US-NH,Claremont,no
CNI,ZYCH,small_airport,Changhai Dachangshandao Airport,39.266441,122.666960,CN,CN-21,Dalian (Changhai),yes
CNJ,YCCY,medium_airport,Cloncurry Airport,-20.668600,140.503998,AU,AU-QLD,Cloncurry,yes
CNK,KCNK,small_airport,Blosser Municipal Airport,39.549301,-97.652298,US,US-KS,Concordia,no
CNL,EKSN,medium_airport,Sindal Airport,57.503502,10.229400,DK,DK-81,Sindal,no
CNM,KCNM,medium_airport,Cavern City Air Terminal,32.337502,-104.263000,US,US-NM,Carlsbad,yes
CNN,VOKN,large_airport,Kannur International Airport,11.916343,75.544979,IN,IN-KL,Kannur,yes
CNO,KCNO,small_airport,Chino Airport,33.974701,-117.637001,US,US-CA,Chino,no
CNP,BGCO,medium_airport,Neerlerit Inaat Airport,70.743103,-22.650499,GL,GL-SE,Neerlerit Inaat,yes
CNQ,SARC,medium_airport,Corrientes Airport,-27.445500,-58.761900,AR,AR-W,Corrientes,yes
CNR,SCRA,medium_airport,Chañaral Airport,-26.332500,-70.607300,CL,CL-AT,Chañaral,no
CNS,YBCS,large_airport,Cairns International Airport,-16.878921,145.749480,AU,AU-QLD,Cairns,yes
CNT,AR-0009,small_airport,Charata Airport,-27.216400,-61.210300,AR,AR-H,Charata,no
CNU,KCNU,medium_airport,Chanute Martin Johnson Airport,37.668173,-95.486727,US,US-KS,Chanute,no
CNV,SNED,small_airport,Sócrates Rezende Airport,-15.667000,-38.954700,BR,BR-BA,Canavieiras,no
CNW,KCNW,small_airport,TSTC Waco Airport,31.641129,-97.073335,US,US-TX,Waco,no
CNX,VTCC,large_airport,Chiang Mai International Airport,18.766800,98.962601,TH,TH-50,Chiang Mai,yes
CNY,KCNY,medium_airport,Canyonlands Regional Airport,38.755001,-109.754997,US,US-UT,Moab,yes
CNZ,AO-CNZ,small_airport,Cangamba Airport,-13.710600,19.861099,AO,AO-MOX,Cangamba,no
COA,KO22,small_airport,Columbia Airport,38.030399,-120.415001,US,US-CA,Columbia,no
COB,AU-COB,small_airport,Coolibah Airport,-15.548300,130.962006,AU,AU-NT,Coolibah,no
COC,SAAC,medium_airport,Comodoro Pierrestegui Airport,-31.296900,-57.996600,AR,AR-E,Concordia,no
COD,KCOD,medium_airport,Yellowstone Regional Airport,44.520199,-109.024002,US,US-WY,Cody,yes
COE,KCOE,medium_airport,Coeur D'Alene Airport - Pappy Boyington Field,47.774300,-116.820000,US,US-ID,Coeur d'Alene,no
COF,KCOF,medium_airport,Patrick Space Force Base,28.234900,-80.610100,US,US-FL,Cocoa Beach,no
COG,SKCD,small_airport,Mandinga Airport,5.072007,-76.676373,CO,CO-CHO,Condoto,no
COH,VECO,small_airport,Cooch Behar Airport,26.330500,89.467201,IN,IN-WB,Cooch Behar,no
COI,KCOI,small_airport,Merritt Island Airport,28.341600,-80.685501,US,US-FL,Merritt Island,no
COJ,YCBB,medium_airport,Coonabarabran Airport,-31.332500,149.266998,AU,AU-NSW,,no
COK,VOCI,large_airport,Cochin International Airport,10.151047,76.400838,IN,IN-KL,Kochi,yes
COL,EGEL,small_airport,Coll Airport,56.601898,-6.617780,GB,GB-SCT,Coll Island,yes
COM,KCOM,small_airport,Coleman Municipal Airport,31.841101,-99.403603,US,US-TX,Coleman,no
CON,KCON,medium_airport,Concord Municipal Airport,43.202702,-71.502296,US,US-NH,Concord,no
COO,DBBB,large_airport,Cotonou Cadjehoun International Airport,6.357230,2.384350,BJ,BJ-AQ,Cotonou,yes
COP,K23,small_airport,Cooperstown-Westville Airport,42.629552,-74.890445,US,US-NY,Cooperstown,no
COQ,ZMCD,medium_airport,Choibalsan Airport,48.135381,114.647231,MN,MN-061,,yes
COR,SACO,large_airport,Ingeniero Aeronáutico Ambrosio L.V. Taravella International Airport,-31.312346,-64.208329,AR,AR-X,Cordoba,yes
COS,KCOS,large_airport,City of Colorado Springs Municipal Airport,38.805801,-104.700996,US,US-CO,Colorado Springs,yes
COT,KCOT,small_airport,Cotulla-La Salle County Airport,28.456699,-99.220299,US,US-TX,Cotulla,no
COU,KCOU,medium_airport,Columbia Regional Airport,38.818100,-92.219597,US,US-MO,Columbia,yes
COV,LTDB,large_airport,Çukurova International Airport,36.891478,35.071235,TR,TR-33,Tarsus,yes
COW,SCCQ,small_airport,Tambillos Airport,-30.198889,-71.246944,CL,CL-CO,Coquimbo,no
COY,YCWY,small_airport,Coolawanyah Airport,-21.794600,117.755000,AU,AU-WA,Coolawanyah Station,no
COZ,MDCZ,small_airport,Constanza - Expedición 14 de Junio National Airport,18.907499,-70.721901,DO,DO-13,Costanza,no
CPA,GLCP,small_airport,Cape Palmas Airport,4.378805,-7.696647,LR,LR-MY,Harper,no
CPB,SKCA,small_airport,Capurganá Airport,8.632169,-77.350262,CO,CO-CHO,Acandí,no
CPC,SAZY,medium_airport,Aviador C. Campos Airport,-40.075401,-71.137299,AR,AR-Q,Chapelco/San Martin de los Andes,yes
CPD,YCBP,medium_airport,Coober Pedy Airport,-29.038312,134.722166,AU,AU-SA,Coober Pedy,yes
CPE,MMCP,medium_airport,Ingeniero Alberto Acuña Ongay International Airport,19.815969,-90.500125,MX,MX-CAM,Campeche,yes
CPF,WARC,small_airport,Ngloram Airport,-7.195522,111.545287,ID,ID-JT,Blora,no
CPG,AR-0390,small_airport,Carmen de Patagones Airport,-40.778100,-62.980300,AR,AR-B,Carmen de Patagones,no
CPH,EKCH,large_airport,Copenhagen Kastrup Airport,55.617901,12.656000,DK,DK-84,Copenhagen,yes
CPI,CPI,small_airport,Cape Orford Airport,-5.448333,152.081944,PG,PG-EBR,,no
CPL,SKHA,small_airport,General Navas Pardo Airport,3.724293,-75.465785,CO,CO-TOL,Chaparral,no
CPM,KCPM,small_airport,Compton Woodley Airport,33.889999,-118.244003,US,US-CA,Compton,no
CPN,PG-0005,small_airport,Cape Rodney Airport,-10.179823,148.379030,PG,PG-CPM,Cape Rodney,no
CPO,SCAT,medium_airport,Desierto de Atacama Airport,-27.261200,-70.779198,CL,CL-AT,Copiapo,yes
CPP,SCKP,small_airport,Coposa Airport,-20.750500,-68.683502,CL,CL-TA,Pica,no
CPR,KCPR,medium_airport,Casper-Natrona County International Airport,42.907381,-106.461609,US,US-WY,Casper,yes
CPS,KCPS,small_airport,St Louis Downtown Airport,38.570702,-90.156197,US,US-IL,Cahokia/St Louis,no
CPT,FACT,large_airport,Cape Town International Airport,-33.974030,18.604333,ZA,ZA-WC,Cape Town,yes
CPU,BR-2235,small_airport,Cururupu Airport,-1.820006,-44.864065,BR,BR-MA,Cururupu,no
CPV,SBKG,medium_airport,Presidente João Suassuna Airport,-7.269662,-35.896057,BR,BR-PB,Campina Grande,yes
CPX,TJCP,medium_airport,Benjamin Rivera Noriega Airport,18.312954,-65.303893,PR,PR-U-A,Culebra,yes
CQA,SWEK,small_airport,Canarana Airport,-13.576545,-52.268296,BR,BR-MT,Canarana,no
CQD,OIFS,medium_airport,Shahrekord Airport,32.297199,50.842201,IR,IR-14,Shahrekord,no
CQF,LFAC,medium_airport,Calais Marck Airport,50.962101,1.954760,FR,FR-HDF,Calais,no
CQM,LERL,medium_airport,Ciudad Real International Airport,38.856479,-3.969944,ES,ES-CM,Ciudad Real,no
CQP,YCFL,small_airport,Cape Flattery Airport,-14.970832,145.311667,AU,AU-QLD,,no
CQS,SWCQ,small_airport,Costa Marques Airport,-12.421100,-64.251602,BR,BR-RO,Costa Marques,no
CQT,SK-277,small_airport,Caquetania Airport,2.033333,-74.216667,CO,CO-MET,Caquetania,no
CQW,ZUWL,medium_airport,Chongqing Xiannüshan Airport,29.465658,107.693664,CN,CN-50,Wulong,yes
CRA,LRCV,large_airport,Craiova International Airport,44.318100,23.888599,RO,RO-DJ,Craiova,yes
CRB,YCBR,small_airport,Collarenebri Airport,-29.523239,148.578243,AU,AU-NSW,,no
CRC,SKGO,medium_airport,Santa Ana Airport,4.758180,-75.955700,CO,CO-VAC,Cartago,no
CRD,SAVC,large_airport,General Enrique Mosconi International Airport,-45.786941,-67.463355,AR,AR-U,Comodoro Rivadavia,yes
CRE,KCRE,medium_airport,Grand Strand Airport,33.811699,-78.723900,US,US-SC,North Myrtle Beach,no
CRF,FEFC,small_airport,Carnot Airport,4.937000,15.894000,CF,CF-HS,Carnot,no
CRG,KCRG,medium_airport,Jacksonville Executive at Craig Airport,30.336300,-81.514397,US,US-FL,Jacksonville,no
CRH,YCHB,small_airport,Cherrabah Airport,-28.430100,152.088950,AU,AU-QLD,Cherrabah Homestead Resort,no
CRI,MYCI,medium_airport,Colonel Hill Airport,22.745600,-74.182404,BS,BS-CK,Colonel Hill,yes
CRJ,AU-CRJ,small_airport,Coorabie Airport,-31.894400,132.296005,AU,AU-SA,Coorabie,no
CRK,RPLC,large_airport,Clark International Airport / Clark Air Base,15.186000,120.559998,PH,PH-PAM,Mabalacat,yes
CRL,EBCI,large_airport,Brussels South Charleroi Airport,50.461963,4.459562,BE,BE-WHT,Charleroi,yes
CRM,RPVF,medium_airport,Catarman National Airport,12.501610,124.635258,PH,PH-NSA,Catarman,yes
CRO,US-12648,small_airport,Corcoran Airport,36.102661,-119.594815,US,US-CA,Corcoran,no
CRP,KCRP,medium_airport,Corpus Christi International Airport,27.770399,-97.501198,US,US-TX,Corpus Christi,yes
CRQ,SBCV,medium_airport,Caravelas Airport,-17.652300,-39.253101,BR,BR-BA,Caravelas,no
CRR,SANW,small_airport,Ceres Airport,-29.872292,-61.927925,AR,AR-S,Ceres,no
CRS,KCRS,small_airport,C David Campbell Field Corsicana Municipal Airport,32.028099,-96.400597,US,US-TX,Corsicana,no
CRT,KCRT,small_airport,Z M Jack Stell Field,33.178299,-91.880203,US,US-AR,Crossett,no
CRU,TGPZ,small_airport,Lauriston Airport,12.476100,-61.472801,GD,GD-PA,Carriacou Island,yes
CRV,LIBC,medium_airport,Crotone Sant'Anna Pythagoras Airport,38.997200,17.080200,IT,IT-78,Isola di Capo Rizzuto (KR),yes
CRW,KCRW,medium_airport,Yeager Airport,38.373100,-81.593201,US,US-WV,Charleston,yes
CRX,KCRX,small_airport,Roscoe Turner Airport,34.915001,-88.603500,US,US-MS,Corinth,no
CRY,AU-CRY,small_airport,Carlton Hill Airport,-15.501900,128.533997,AU,AU-WA,Carlton Hill,no
CRZ,UTAV,large_airport,Türkmenabat International Airport,38.930662,63.563982,TM,TM-L,Türkmenabat,yes
CSA,EGEY,small_airport,Colonsay Airstrip,56.057499,-6.243060,GB,GB-SCT,Colonsay,yes
CSB,LRCS,medium_airport,Caransebeş Airport,45.420142,22.252507,RO,RO-CS,Caransebeş,no
CSC,MRMJ,small_airport,Mojica Airport,10.430700,-85.174599,CR,CR-G,Cañas,no
CSD,AU-CSD,small_airport,Cresswell Downs Airport,-17.948000,135.916000,AU,AU-NT,Cresswell Downs,no
CSE,0CO2,small_airport,Crested Butte Airpark,38.851918,-106.928341,US,US-CO,Crested Butte,no
CSF,LFPC,medium_airport,Creil Air Base,49.253502,2.519140,FR,FR-HDF,Creil,no
CSG,KCSG,medium_airport,Columbus Airport,32.516415,-84.939602,US,US-GA,Columbus,yes
CSH,ULAS,small_airport,Solovki Airport,65.029996,35.730558,RU,RU-ARK,Solovetsky Islands,yes
CSI,YCAS,small_airport,Casino Airport,-28.881304,153.060724,AU,AU-NSW,,no
CSK,GOGS,medium_airport,Cap Skirring Airport,12.395330,-16.748000,SN,SN-ZG,Cap Skirring,yes
CSM,KCSM,small_airport,Clinton Sherman Airport,35.339802,-99.200500,US,US-OK,Clinton,no
CSN,KCXP,medium_airport,Carson Airport,39.194331,-119.734312,US,US-NV,Carson City,no
CSO,EDBC,small_airport,Cochstedt Airport,51.856400,11.420300,DE,DE-ST,Hecklingen,no
CSQ,KCSQ,small_airport,Creston Municipal Airport,41.021400,-94.363297,US,US-IA,Creston,no
CSR,SK-511,small_airport,Casuarito Airport,5.833333,-68.133333,CO,CO-VID,Casuarito,no
CSS,SSCL,small_airport,Cassilândia Airport,-19.146861,-51.676941,BR,BR-MS,Cassilândia,no
CST,NFCS,seaplane_base,Castaway Island Seaplane Base,-17.735800,177.129000,FJ,FJ-W,Castaway Island,no
CSU,SSSC,small_airport,Santa Cruz do Sul Airport,-29.684099,-52.412201,BR,BR-RS,Santa Cruz do Sul,no
CSV,KCSV,medium_airport,Crossville Memorial Airport Whitson Field,35.951310,-85.084990,US,US-TN,Crossville,no
CSW,MMSL,medium_airport,Cabo San Lucas International Airport,22.949072,-109.939479,MX,MX-BCS,Cabo San Lucas,yes
CSX,ZGHA,large_airport,Changsha Huanghua International Airport,28.189199,113.220001,CN,CN-43,Changsha (Changsha),yes
CSY,UWKS,medium_airport,Cheboksary Airport,56.090302,47.347301,RU,RU-CU,Cheboksary,yes
CSZ,SAZC,small_airport,Brigadier D.H.E. Ruiz Airport,-37.446098,-61.889301,AR,AR-B,Coronel Suarez,no
CTA,LICC,large_airport,Catania-Fontanarossa Airport,37.466801,15.066400,IT,IT-82,Catania,yes
CTB,KCTB,medium_airport,Cut Bank International Airport,48.608657,-112.378183,US,US-MT,Cut Bank,no
CTC,SANC,medium_airport,Coronel Felipe Varela International Airport,-28.593117,-65.751200,AR,AR-K,Catamarca,yes
CTD,MPCE,medium_airport,Alonso Valderrama Airport,7.987840,-80.409837,PA,PA-6,Chitré,yes
CTE,PA-0004,small_airport,Cartí Airport,9.452863,-78.978917,PA,PA-GY,Cartí Islands,no
CTF,MGCT,small_airport,Coatepeque Airport,14.694200,-91.882500,GT,GT-QZ,Coatepeque,no
CTG,SKCG,large_airport,Rafael Nuñez International Airport,10.442400,-75.513000,CO,CO-BOL,Cartagena,yes
CTH,KMQS,small_airport,Chester County G O Carlson Airport,39.979000,-75.865501,US,US-PA,Coatesville,no
CTI,FNCV,small_airport,Cuito Cuanavale Airport,-15.160300,19.156099,AO,AO-CCU,Cuito Cuanavale,no
CTK,K7G9,small_airport,Canton Municipal Airport,43.308842,-96.571225,US,US-SD,Canton,no
CTL,YBCV,medium_airport,Charleville Airport,-26.413300,146.261993,AU,AU-QLD,Charleville,yes
CTM,MMCM,medium_airport,Chetumal International Airport,18.504985,-88.328018,MX,MX-ROO,Chetumal,yes
CTN,YCKN,medium_airport,Cooktown Airport,-15.443649,145.183221,AU,AU-QLD,,yes
CTO,K3C8,small_airport,Calverton Executive Airpark,40.915100,-72.791901,US,US-NY,Calverton,no
CTP,CTP,small_airport,Carutapera Airport,-1.225365,-46.019057,BR,BR-MA,Carutapera,no
